message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=4.729648, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.508495846";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.595842, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.508452476";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.714476, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.492830610";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.611014, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.492566155";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.580670, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.492075877";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.565497, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.476578029";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.699304, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.476374418";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.595842, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.476370976";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.550325, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.460382195";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.684131, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.460045703";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.580670, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.460070187";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.565497, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.444766540";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.668959, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.444676312";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.535153, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.444655776";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.550325, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.428240429";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.519980, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.428246535";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.653787, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.428114987";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.504808, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.412790261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.638614, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.412698491";"./src/turtle.cpp:update:260"
